original_title,genre_ids,popularity,vote_average,vote_count,year
Burning Bright,"[18, 27, 53]",7.938,6.0,113,2010
Hereafter,"[18, 14]",7.886,5.9,848,2010
All Good Things,"[18, 9648, 53, 80, 10749]",7.871,6.0,493,2010
Defendor,"[18, 28, 35, 80]",7.863,6.4,295,2010
The Dead,"[27, 28, 53, 878]",7.841,5.7,89,2010
Day & Night,"[16, 10751]",7.835,7.7,438,2010
दबंग्ग,"[28, 35, 80]",7.831,6.2,73,2010
The Ghost Writer,"[53, 9648]",7.829,6.8,1135,2010
Inhale,"[18, 28, 53]",7.826,6.1,63,2010
Le Mac,[35],7.825,5.7,144,2010
Derailed,"[18, 53]",7.814,6.2,500,2005
She's Out of My League,"[35, 10749]",7.775,6.1,970,2010
Triangle,[27],7.761,6.8,1094,2010
Boy,"[18, 35]",7.759,7.5,149,2012
Tout ce qui Brille,[35],7.756,6.4,456,2010
The Switch,"[35, 10749, 18]",7.745,6.1,1008,2010
Cyrus,"[35, 18, 10749]",7.735,6.0,201,2010
"L'Amour, c'est mieux à deux","[35, 10749]",7.701,5.6,118,2010
L'ennemi public n°1,"[28, 53, 80, 18]",7.7,7.4,404,2010
Lottery Ticket,[35],7.699,5.7,92,2010
Biutiful,[18],7.697,7.2,546,2010
Der rote Baron,"[28, 12, 18, 36, 10752]",7.676,6.5,111,2010
The Romantics,"[35, 18, 10749]",7.676,4.9,145,2010
MacGruber,"[28, 12, 35]",7.666,5.3,270,2010
Mirrors 2,"[27, 9648, 53]",7.663,5.5,182,2010
Kill Theory,"[27, 53, 9648]",7.663,5.3,58,2010
剑雨,"[36, 28]",7.621,6.8,87,2010
My Name Is Khan,"[18, 10749]",7.619,7.8,409,2010
Kongen av Bastøy,"[18, 28]",7.616,7.3,96,2010
大兵小将,"[28, 35, 12]",7.607,6.8,123,2010
Somewhere,"[35, 18]",7.596,6.1,376,2010
Greenberg,"[35, 18, 10749]",7.57,5.9,280,2010
Country Strong,"[18, 10749, 10402]",7.567,6.3,126,2010
The Nutcracker in 3D,"[10402, 14, 28, 10751]",7.566,5.5,97,2010
Oceans,"[99, 10751]",7.532,7.2,167,2010
Conviction,[18],7.51,7.2,297,2010
The Way Back,"[18, 12, 36]",7.503,6.9,759,2010
The Search for Santa Paws,"[10751, 12]",7.452,5.9,85,2010
Ramona and Beezus,"[35, 10751]",7.442,6.3,460,2010
Mes chères études,[18],7.394,4.8,67,2010
The Client List,[18],7.382,5.6,108,2010
Prayers for Bobby,"[18, 36, 10770]",7.372,7.9,220,2009
김씨 표류기,"[18, 35, 10749]",7.368,8.1,259,2010
Tamara Drewe,"[35, 10749]",7.364,5.8,226,2010
Barney's Version,"[35, 18]",7.357,7.2,210,2011
Meek's Cutoff,"[18, 37]",7.309,6.5,113,2010
Secuestrados,"[27, 53]",7.297,6.3,98,2010
Growth,"[27, 878, 53]",7.28,5.2,33,2010
Made in Dagenham,"[35, 18, 36]",7.275,6.6,150,2010
Donkey's Christmas Shrektacular,"[14, 16, 18, 35, 878, 10751]",7.265,5.3,70,2010
Revenge of the Bridesmaids,"[35, 10749, 10770]",7.216,6.3,165,2010
The Lost Future,"[12, 878]",7.188,5.0,79,2010
Catfish,[99],7.172,6.8,284,2010
The Drawn Together Movie: The Movie!,"[16, 35]",7.171,6.4,54,2010
Triage,"[18, 53, 9648]",7.155,6.5,82,2010
The Tortured,[27],7.148,5.3,77,2010
Kevin Hart: Seriously Funny,[35],7.146,7.3,89,2010
Hesher,[18],7.14,7.0,335,2010
Howl,[18],7.12,6.8,100,2010
Restrepo,"[99, 10752]",7.119,7.5,188,2010
