original_title,genre_ids,popularity,vote_average,vote_count,year
The Oxide Incident,"[18, 9648]",0.6,9.0,1,2014
Hero,[],0.6,9.0,1,2014
Lonely Planet,"[18, 10749]",0.6,9.0,1,2014
New Zealand - Home of Middle-earth - Part 2,[],0.6,9.0,1,2014
Lesley the Pony Has an A+ Day!,[],0.6,9.0,1,2014
Sean,[],0.6,9.0,1,2014
Dragula,[18],0.6,9.0,1,2014
SMH The Movie,[],0.6,9.0,1,2014
Dogs on the Inside,[99],0.6,9.0,2,2014
Rosetta: Audio/Visual,"[10402, 99]",0.6,9.0,2,2014
"White, Blue and White",[],0.6,9.0,1,2014
Jean-Marc Parent - Torture,[35],0.6,9.0,1,2014
Malleus Maleficarum,[27],0.6,9.0,1,2014
Pity,"[53, 18, 27]",0.6,9.0,1,2014
The Lion’s Mouth Opens,[99],0.6,9.0,1,2014
The Day the Series Stopped,"[99, 10770]",0.6,9.0,2,2014
Strictly Sacred: The Story of Girl Trouble,[],0.6,9.0,1,2014
A Leading Man,[18],0.6,9.0,1,2014
Walking Under Water,[],0.6,9.0,2,2014
They Came at Night,[],0.6,9.0,1,2014
700 Sundays,[],0.6,9.0,5,2014
Krisha,[18],0.6,9.0,1,2014
Sing Over Me,[],0.6,9.0,2,2014
Brain of Terror,[],0.6,9.0,1,2014
Above All Else,[99],0.6,9.0,2,2014
Atlas,[99],0.6,9.0,1,2014
The Ballad of Skinless Pete,[27],0.6,9.0,1,2014
Brian Wilson: Songwriter 1969-1982,[],0.6,9.0,1,2014
The Neighbors,[35],0.6,8.8,2,2014
The Black Dahlia Murder: Fool 'Em All,[],0.6,8.8,2,2014
روز روشن,[18],0.6,8.8,2,2014
Rat Pack Rat,"[18, 10402]",0.6,8.7,3,2014
Inside the Whale,[18],0.6,8.5,2,2014
The Gospel of Matthew,[18],0.6,8.5,2,2014
Phineas and Ferb: Night of the Living Pharmacists,[],0.6,8.5,2,2014
Naked,[],0.6,8.5,2,2014
Runaway Dream,"[28, 80]",0.6,8.5,1,2014
Skydancers,[99],0.6,8.5,2,2014
Sleepless in America,[],0.6,8.5,2,2014
Living with Jigsaw,[],0.6,8.5,2,2014
Slaying the Badger,[99],0.6,8.5,2,2014
Your Inner Fish,[99],0.6,8.3,3,2014
Sweeney Todd: The Demon Barber of Fleet Street,"[27, 53, 18, 10402]",0.6,8.3,3,2014
Terror at the Mall,[99],0.6,8.3,3,2014
CKY: The Greatest Hits,[99],0.6,8.3,4,2014
Nixon by Nixon: In His Own Words,[99],0.6,8.3,4,2014
Asteroide,[],0.6,8.3,2,2014
Carb-Loaded: A Culture Dying to Eat,[99],0.6,8.2,3,2014
Simply Gay Le Film,[18],0.6,8.1,6,2014
Willie Nelson Live @ SXSW,[10402],0.6,8.0,1,2014
When God Left the Building,[],0.6,8.0,1,2014
Lake,"[16, 14]",0.6,8.0,1,2014
"Afflicted, Inc.","[14, 53, 36]",0.6,8.0,1,2014
Addiction: This Is Not a Love Story,[],0.6,8.0,1,2014
Batmetal,"[10402, 35]",0.6,8.0,1,2014
The Distortion of Sound,"[99, 10402]",0.6,8.0,2,2014
Vegas Vikings,"[99, 18, 53]",0.6,8.0,1,2014
Rise of a Texas Bluesman: Stevie Ray Vaughan 1954-1983,"[99, 10402]",0.6,8.0,1,2014
INT. CAFÉ – NIGHT,"[10749, 18]",0.6,8.0,3,2014
Paris by night 112,"[18, 10402, 10770]",0.6,8.0,1,2014
Kounterclockwise in Forever-Land,"[16, 35, 10402, 878]",0.6,8.0,2,2014
Drink,"[878, 18]",0.6,8.0,1,2014
Chestnut Street,[],0.6,8.0,1,2014
Emulsion Electrons Imbued,[],0.6,8.0,1,2014
Finding Home,[],0.6,8.0,3,2014
Closed Set,[],0.6,8.0,2,2014
Sabrina: Secrets of a Teenage Witch - A Witch and the Werewolf,[],0.6,8.0,1,2014
The Hunt,[],0.6,8.0,1,2014
Inside Her Sex,[99],0.6,8.0,1,2014
Cowboy Christmas,[99],0.6,8.0,2,2014
Test,"[18, 878]",0.6,8.0,1,2014
Sufferfest 2: Desert Alpine,[],0.6,8.0,1,2014
NEW,"[18, 878]",0.6,8.0,1,2014
Skunk,[18],0.6,8.0,2,2014
Barbie Boy,[],0.6,8.0,1,2014
AWOL,[18],0.6,8.0,2,2011
My Depression (The Up and Down and Up of It),"[16, 99]",0.6,8.0,2,2014
Faberge: A Life of Its Own,"[36, 99]",0.6,8.0,1,2014
Basically,"[35, 18]",0.6,8.0,1,2014
Dearly Departed: Vol. 2,[],0.6,8.0,2,2014
Rise of the Entrepreneur: The Search for a Better Way,[],0.6,8.0,1,2014
Fandry,[],0.6,8.0,1,2014
JFK to 9/11: Everything is a Rich Man's Trick,"[80, 99, 36]",0.6,8.0,2,2014
Teenagers With Attitude,[878],0.6,8.0,2,2014
Why I'm Not on Facebook,[99],0.6,8.0,2,2014
Skinned,[],0.6,8.0,2,2014
That's Not Funny,[99],0.6,8.0,1,2014
Runaway Hearts,[],0.6,8.0,1,2014
Compared To What: The Improbable Journey Of Barney Frank,[99],0.6,8.0,3,2014
The Eve,"[53, 27]",0.6,8.0,1,2014
Inside Metal: The Pioneers of L.A. Hard Rock and Metal,[99],0.6,8.0,1,2014
Opposite Field,[],0.6,8.0,1,2014
The Peculiar Predicament of Paul and Penelope,[],0.6,8.0,1,2014
The Run of His Life: The People v. O.J. Simpson,[],0.6,8.0,1,2014
Last Days,"[80, 16]",0.6,8.0,5,2014
Lalaloopsy Girls: Welcome to L.A.L.A. Prep School,[10751],0.6,8.0,2,2014
Frank Skinner Live - Man in a Suit,[35],0.6,8.0,1,2014
Love,[99],0.6,8.0,1,2014
Joe Rogan: Rocky Mountain High,[35],0.6,8.0,1,2014
Everything Will Change,"[10402, 99]",0.6,8.0,1,2014
Exile Nation: The Plastic People,[],0.6,8.0,1,2014
Blue Gold: American Jeans,[99],0.6,8.0,2,2014
Jason Manford: First World Problems,[35],0.6,8.0,1,2014
The U Part 2,[],0.6,8.0,2,2014
Brothers in Exile,[],0.6,8.0,4,2014
Almost Ablaze,[99],0.6,8.0,2,2014
John's of 12th Street,[99],0.6,8.0,1,2014
Remaking the Legend: Halo 2 Anniversary,"[878, 99]",0.6,8.0,1,2014
Kehinde Wiley: An Economy of Grace,[99],0.6,8.0,2,2014
Bag Man,"[28, 18]",0.6,8.0,4,2014
China Test Girls,[53],0.6,8.0,1,2014
A Small Section of the World,[99],0.6,8.0,1,2014
La vie rêvée de David L,[],0.6,8.0,1,2014
Nine Days and Nights of Ed Sheeran,"[99, 10402]",0.6,8.0,3,2014
Floating,[18],0.6,8.0,1,2014
Metamoris 3 - The Rematch,[],0.6,8.0,1,2014
Wolverine Versus Sabretooth,[],0.6,8.0,2,2014
Barney: Happy Birthday Barney!,[10751],0.6,8.0,1,2014
Verbatim,"[35, 99]",0.6,8.0,1,2014
Honor Diaries,[99],0.6,8.0,2,2014
"Something, Anything","[10749, 18]",0.6,8.0,2,2015
Volcom: True to This,[28],0.6,8.0,1,2014
My Last Year With The Nuns,[],0.6,8.0,1,2014
VeggieTales: Veggies In Space - The Fennel Frontier,"[16, 10751]",0.6,8.0,1,2014
The Gable 5,[28],0.6,8.0,1,2014
Journey of a Female Comic,[99],0.6,8.0,1,2014
Cairo Drive,[99],0.6,8.0,1,2014
Death Metal Angola,[99],0.6,8.0,3,2014
Torturous,[],0.6,8.0,1,2014
A Tale of Momentum & Inertia,"[16, 35]",0.6,7.8,5,2014
The Newburgh Sting,[99],0.6,7.8,5,2014
Slap,[18],0.6,7.8,2,2014
Jake Bugg - Live at the Royal Albert Hall,[10402],0.6,7.8,2,2014
Ever,"[18, 10749]",0.6,7.8,4,2014
Silenced,[99],0.6,7.7,7,2014
My Italian Secret: The Forgotten Heroes,[],0.6,7.7,3,2014
Leonard in Slow Motion,[35],0.6,7.7,3,2014
Dead Frequency,"[10749, 35, 18]",0.6,7.7,3,2014
One Little Pill,"[99, 18]",0.6,7.7,3,2014
Goreyan Nu Daffa Karo,[],0.6,7.7,3,2014
American Interior,[99],0.6,7.7,3,2014
Sign Painters,[99],0.6,7.7,3,2014
Brian and the Boz,[99],0.6,7.6,4,2014
No Cameras Allowed,[99],0.6,7.6,4,2014
We Cause Scenes,[],0.6,7.6,5,2014
Derren Brown: Infamous,"[99, 10770]",0.6,7.5,11,2014
Dragon Ball Z: Light of Hope,[],0.6,7.5,3,2014
Todd Barry: The Crowd Work Tour,[35],0.6,7.5,2,2014
Our Magic,[],0.6,7.5,1,2014
Noah,[99],0.6,7.5,2,2014
5 Seconds of Summer: So Perfect,[],0.6,7.5,2,2014
The Dukes of September - Live at Lincoln Center,[10402],0.6,7.5,1,2014
Submarine Sandwich,[16],0.6,7.5,5,2014
Nina Conti: Dolly Mixtures,[35],0.6,7.5,1,2014
Navy SEALs: Their Untold Story,"[99, 10752]",0.6,7.5,4,2014
Sid the Science Kid: What Is a Rainbow?,[10751],0.6,7.5,1,2014
Voce umana,"[10749, 18]",0.6,7.5,4,2014
American Pharaoh,[99],0.6,7.5,1,2014
Tinkerbell Pirate Shorts,[],0.6,7.5,2,2014
Bipolar,"[53, 9648]",0.6,7.5,2,2014
Cyber-Seniors,[99],0.6,7.5,5,2014
Billy Joel: A Matter of Trust - The Bridge to Russia,[],0.6,7.5,1,2014
Red Dirt Rising,[18],0.6,7.5,2,2014
Life After Pi,[99],0.6,7.4,7,2014
Brothers,[18],0.6,7.3,3,2014
Toutes des connes,[35],0.6,7.3,3,2014
Sam,"[16, 12, 35, 878]",0.6,7.3,3,2014
The Awareness,"[18, 878]",0.6,7.3,3,2014
Heather McDonald: I Don't Mean to Brag,[35],0.6,7.3,3,2014
She Makes Comics,[99],0.6,7.3,4,2014
"Apocalypse, Man",[99],0.6,7.3,2,2014
Know How,[],0.6,7.3,2,2014
Dangerous Toys,[],0.6,7.3,2,2014
All American High: Revisited,[99],0.6,7.3,4,2014
Not Waving but Drowning,[18],0.6,7.3,4,2012
عمر,"[53, 18, 10749]",0.6,7.2,86,2014
Escape From a Nazi Death Camp,"[99, 36]",0.6,7.2,3,2014
Lambert & Stamp,"[99, 10402]",0.6,7.2,6,2014
Watermark,[99],0.6,7.2,12,2014
Interesting Ball,"[14, 35]",0.6,7.1,7,2014
Toy Story of Terror!,"[12, 16, 35, 10751, 14, 27, 10770]",0.6,7.1,413,2014
The Drop Box,[99],0.6,7.1,8,2014
Mistaken for Strangers,"[99, 10402]",0.6,7.1,34,2014
Tracks,"[12, 18]",0.6,7.1,273,2014
Manos sucias,"[53, 18]",0.6,7.0,11,2014
Little Darling,"[16, 10749]",0.6,7.0,1,2014
Arrowed,[],0.6,7.0,1,2014
The Turtle's Head,[35],0.6,7.0,1,2014
The Real Chainsaw Massacre,"[99, 80]",0.6,7.0,1,2014
Falling,[],0.6,7.0,1,2014
What It Was,"[18, 10749]",0.6,7.0,2,2014
The Ledge End of Phil,"[16, 18]",0.6,7.0,1,2014
Miss Miao,"[18, 53]",0.6,7.0,1,2014
The Adventures of Paula Peril,"[9648, 12]",0.6,7.0,1,2014
Vaccines: Calling the Shots,[],0.6,7.0,1,2014
Truth or Dare,[28],0.6,7.0,1,2014
Prison State,[99],0.6,7.0,1,2014
Berlin Wall: The Night the Iron Curtain Closed,[99],0.6,7.0,1,2014
I Choose,[],0.6,7.0,1,2014
Star Wars Rebels: Art Attack,[],0.6,7.0,6,2014
Last Spring Break,[35],0.6,7.0,1,2014
Dick Cavett's Watergate,[99],0.6,7.0,1,2014
Catatonia,"[53, 27]",0.6,7.0,1,2014
The Majdanek Gas Chamber Myth,[],0.6,7.0,1,2014
Godka cirka,"[18, 99]",0.6,7.0,1,2013
9 minutes,[878],0.6,7.0,1,2014
The Weigh In,[],0.6,7.0,1,2014
American Gladiators,"[18, 10751]",0.6,7.0,1,2014
Broken Heart Land,[99],0.6,7.0,1,2014
Gasping,[35],0.6,7.0,1,2014
The yellow generation,"[16, 12]",0.6,7.0,1,2014
Who Is Vermin Supreme? An Outsider Odyssey,[99],0.6,7.0,1,2014
The iMom,"[878, 18]",0.6,7.0,1,2014
Deadly Famous,"[53, 27]",0.6,7.0,1,2014
The Secret Santa,[],0.6,7.0,1,2014
Sufferfest 1: Climbing California's 14ers by Bike,[],0.6,7.0,1,2014
Dark Hearts,[],0.6,7.0,1,2014
Remission,"[18, 27]",0.6,7.0,1,2014
The Pride of Strathmoor,"[16, 27]",0.6,7.0,1,2014
Defiance: The Lost Ones,"[18, 28, 878]",0.6,7.0,1,2014
Althea,[99],0.6,7.0,2,2014
Freedom From Choice,[99],0.6,7.0,1,2014
First Aid Kit - Live at The Paradise,[10402],0.6,7.0,1,2014
Las Marthas,"[99, 36]",0.6,7.0,1,2014
Bunion,"[35, 10749]",0.6,7.0,1,2014
Help,"[28, 878, 27]",0.6,7.0,3,2014
The History of Time Travel,"[18, 99]",0.6,7.0,2,2014
The Milky Way,"[10751, 99]",0.6,7.0,3,2014
My Big Brother,"[16, 14]",0.6,7.0,1,2014
Mimi and Dona,[],0.6,7.0,1,2014
The Last Man on Earth,"[878, 35, 10749]",0.6,7.0,1,2014
Hate Crimes in the Heartland,[],0.6,7.0,1,2014
Doll Factory,[],0.6,7.0,1,2014
Jennifer Help Us,[27],0.6,7.0,1,2014
First Impression,[],0.6,7.0,1,2014
The Power of Thought,[99],0.6,7.0,1,2014
Masanada Hoovu,[],0.6,7.0,1,2014
Werewolves,[35],0.6,7.0,2,2014
500 Miles,"[10749, 18]",0.6,7.0,1,2014
Return to the Wild: The Chris McCandless Story,"[99, 10770]",0.6,7.0,1,2014
The Thanhouser Studio and the Birth of American Cinema,[],0.6,7.0,1,2014
End of the Line,"[28, 16]",0.6,7.0,2,2014
匆匆那年,"[10749, 18]",0.6,7.0,3,2014
Baaz,[],0.6,7.0,1,2014
Koppu no naka no Koushi,"[16, 18, 10751]",0.6,7.0,3,2014
More Scenes from a Gay Marriage,"[35, 18, 10749]",0.6,7.0,2,2014
Mass Extinction: Life at the Brink,[99],0.6,7.0,2,2014
Al Capone: Icon,[99],0.6,7.0,1,2014
Alice Cooper: Raise the Dead (Live from Wacken),[10402],0.6,7.0,1,2014
Alone With People,"[35, 18]",0.6,7.0,1,2014
A Reunion,"[18, 10749]",0.6,7.0,2,2014
Return of the River,[99],0.6,7.0,1,2014
Tomato Republic,[99],0.6,7.0,1,2014
Mike The Knight: Journey To Dragon Mountain,"[10751, 16]",0.6,7.0,1,2014
Sounding the Alarm: Battling the Autism Epidemic,[99],0.6,7.0,1,2014
Delivery,[],0.6,7.0,2,2014
Pixel Poetry,[99],0.6,7.0,1,2014
The Art of Playing,[99],0.6,7.0,1,2014
Time Machine: The Journey Back,"[99, 878]",0.6,7.0,2,2014
ErOddity(s),"[18, 14, 27]",0.6,7.0,1,2014
Shake the Dust,[99],0.6,7.0,2,2014
Dude Where's My Dog?,[10751],0.6,7.0,1,2014
#chicagoGirl,[99],0.6,7.0,1,2014
"Maravilla, Un Luchador",[99],0.6,7.0,1,2014
Mad Dog: Gaddafi's Secret World,[99],0.6,7.0,2,2014
Spies of Mississippi,[99],0.6,7.0,2,2014
The David Dance,[18],0.6,7.0,1,2014
XXII Winter Olympics Opening Ceremony,[],0.6,7.0,1,2014
Through a Lens Darkly: Black Photographers and the Emergence of a People,[99],0.6,7.0,2,2014
El cerrajero,"[18, 35, 10749]",0.6,7.0,1,2014
Happiness,[99],0.6,7.0,3,2014
Freedom Summer,[99],0.6,7.0,2,2014
Cesar's Last Fast,[99],0.6,7.0,1,2014
Away From Here,[18],0.6,7.0,2,2014
In No Great Hurry: 13 Lessons in Life with Saul Leiter,[],0.6,7.0,4,2014
A Will for the Woods,[],0.6,7.0,1,2014
Purgatorio: Viaje al corazón de la frontera,[99],0.6,7.0,3,2014
Run for Your Life,"[10770, 18, 53]",0.6,6.9,5,2014
R.E.M. By MTV,"[10402, 99]",0.6,6.9,4,2014
X: Past Is Present,"[18, 9648]",0.6,6.9,4,2014
Lost In Detroit 2,"[28, 53]",0.6,6.9,4,2014
The Portal,"[878, 35, 14]",0.6,6.9,7,2014
Evolution's Achilles' Heels,[99],0.6,6.8,3,2014
All About Ann: Governor Richards of the Lone Star State,[99],0.6,6.8,3,2014
Cameron's Book of Love,"[35, 10749]",0.6,6.8,3,2014
Downstairs,"[35, 27]",0.6,6.8,4,2014
The Hitch,[99],0.6,6.8,4,2014
Collision Point: The Race to Clean Up Space,[878],0.6,6.8,2,2014
Enquiring Minds: The Untold Story of the Man Behind the National Enquirer,[99],0.6,6.8,4,2014
Jerrod Carmichael: Love at the Store,"[35, 10770]",0.6,6.8,4,2014
Dos disparos,"[18, 35]",0.6,6.8,4,2014
ThuleTuvalu,[99],0.6,6.8,3,2014
Words with Gods,"[18, 35]",0.6,6.8,2,2014
Driving Miss Daisy,[],0.6,6.7,5,2014
Lost: Mh 370,[],0.6,6.7,3,2014
Happy Go Lucky,"[35, 10749]",0.6,6.7,3,2014
I Am Road Comic,"[35, 99]",0.6,6.7,3,2014
Human Revolution - Deus EX,"[878, 28]",0.6,6.7,3,2014
Patrick's Day,[18],0.6,6.7,3,2014
Imagine I'm Beautiful,[18],0.6,6.6,4,2014
La Bare,[99],0.6,6.6,5,2014
Stand Clear of the Closing Doors,[18],0.6,6.6,5,2014
Drain the Bermuda Triangle,[99],0.6,6.5,2,2014
Where The Devil Dwells,[27],0.6,6.5,2,2014
The Passing,"[9648, 27]",0.6,6.5,2,2014
The Looking Planet,"[12, 16]",0.6,6.5,6,2014
Somewhere Down the Line,"[12, 16]",0.6,6.5,2,2014
Thresher,"[27, 878]",0.6,6.5,2,2014
Short Plays,"[99, 18]",0.6,6.5,2,2014
You Won't Regret That Tattoo,[99],0.6,6.5,1,2014
Lila,[],0.6,6.5,4,2014
The Stomach,[27],0.6,6.5,2,2014
Life of Ryan: Caretaker Manager,[],0.6,6.5,3,2014
Selena Gomez: Living the Dream,[99],0.6,6.5,2,2014
La Coupe,"[18, 10751]",0.6,6.5,2,2014
Simple Minds: Celebrate (Live at the SSE Hydro Glasgow),[10402],0.6,6.5,1,2014
Strange Thing,"[878, 27]",0.6,6.5,1,2014
La Carnada,[18],0.6,6.5,2,2014
Night of the Living Dead,[27],0.6,6.5,1,2014
Slave Trade: How Prince Remade the Music Business,"[10402, 99]",0.6,6.5,2,2014
The Passenger,[18],0.6,6.5,3,2014
Lake Los Angeles,[18],0.6,6.5,2,2014
Phantom Limb,[16],0.6,6.5,2,2014
Summer's Shadow,"[18, 10751]",0.6,6.5,1,2014
Love in the Time of Advertising,"[16, 35]",0.6,6.5,1,2014
Questioning Darwin,[99],0.6,6.5,2,2014
Mercedes Sosa: La voz de Latinoamérica,[99],0.6,6.5,4,2014
Secrets of Her Majesty's Secret Service,[],0.6,6.4,7,2014
World of Warcraft: Looking For Group,[99],0.6,6.4,5,2014
Min søsters børn i Afrika,"[35, 10751, 12]",0.6,6.4,5,2014
Dust,[],0.6,6.3,3,2014
Lady Peacock,"[10749, 35]",0.6,6.3,3,2014
Uncertain Terms,[18],0.6,6.3,6,2014
Waiting in the Wings: The Musical,"[35, 10402]",0.6,6.3,3,2014
Private Violence,[99],0.6,6.3,3,2014
Quod erat demonstrandum,[18],0.6,6.3,3,2014
Kung Fu Elliot,"[99, 35, 18]",0.6,6.3,7,2014
Weekend of a Champion,[99],0.6,6.3,4,2014
Lego Star Wars: The Yoda Chronicles - Raid on Coruscant,"[28, 16, 10751, 878]",0.6,6.3,4,2014
Comeback Dad,[18],0.6,6.3,4,2014
Meet the Hitlers,[99],0.6,6.3,4,2014
Brick by Brick: Inside Lego,[99],0.6,6.3,2,2014
The Trouble with the Truth,[18],0.6,6.3,4,2011
A Haunting on Washington Avenue: The Temple Theatre,"[27, 99, 18]",0.6,6.2,5,2014
The Coffee Shop,"[18, 10749]",0.6,6.2,3,2014
Flutter,[18],0.6,6.1,4,2014
Grace,[18],0.6,6.1,4,2014
Se Deus Vier Que Venha Armado,[18],0.6,6.1,5,2014
D Is for Deloused,"[16, 27]",0.6,6.0,1,2014
El Triángulo Rosa y la cura Nazi para la Homosexualidad,[],0.6,6.0,1,2014
Transmormon,[],0.6,6.0,1,2014
The Pinkprint Movie,[10402],0.6,6.0,1,2014
Why Sharks Attack,[99],0.6,6.0,3,2014
Van Morrison: Another Glorious Decade,"[99, 10402]",0.6,6.0,1,2014
Beard Off,"[35, 28]",0.6,6.0,1,2014
Inverse,"[878, 9648]",0.6,6.0,1,2014
"Hello, Again",[],0.6,6.0,1,2014
Snackpocalypse,[35],0.6,6.0,7,2014
Cry Now,"[18, 10749]",0.6,6.0,1,2014
Bacheh,[18],0.6,6.0,1,2014
Grand Auto Theft: L.A.,[28],0.6,6.0,1,2014
One Weekend,[18],0.6,6.0,1,2014
The Amish: Shunned,[],0.6,6.0,1,2014
The Power of the Heart,[99],0.6,6.0,2,2014
Grind,"[18, 10402]",0.6,6.0,1,2014
Batman: Evolution,[80],0.6,6.0,1,2014
Headspace,[16],0.6,6.0,1,2014
SexLife,[],0.6,6.0,2,2014
Boxgirl,[27],0.6,6.0,1,2014
Born Schizophrenic: January's Story,[99],0.6,6.0,1,2014
Galapagos Realm Of Giant Sharks,[99],0.6,6.0,1,2014
No Control,[99],0.6,6.0,1,2014
Hands of Bresson,[99],0.6,6.0,1,2014
Maku,[16],0.6,6.0,2,2014
Miskatonic University,[],0.6,6.0,1,2014
Frontline: Generation Like,[99],0.6,6.0,2,2014
Space Ninja: The Animated Movie,"[878, 16, 28]",0.6,6.0,1,2014
Clarity,[18],0.6,6.0,1,2014
So You've Grown Attached,[35],0.6,6.0,1,2014
Bing Crosby: Rediscovered,[99],0.6,6.0,1,2014
Whispers Among Wolves,[],0.6,6.0,2,2014
Assumption of Risk,"[53, 9648, 878]",0.6,6.0,1,2014
American Experience: 1964,"[36, 99]",0.6,6.0,1,2014
Becoming Anita Ekberg,[],0.6,6.0,1,2014
She Lights Up Well,"[10402, 35]",0.6,6.0,1,2014
The Banishing,[27],0.6,6.0,1,2014
A Genius Leaves the Hood - The Unauthorized Story of Jay Z,[99],0.6,6.0,2,2014
Between Times,[],0.6,6.0,1,2014
Để Mai Tính 2,[35],0.6,6.0,1,2014
Bring It On: A Tribute to Broadway,"[35, 10402]",0.6,6.0,2,2014
SBK The-Movie,[],0.6,6.0,1,2014
Flyover Country,[],0.6,6.0,1,2014
Comic Book Heaven,[99],0.6,6.0,1,2014
"Fear Town, USA","[35, 27]",0.6,6.0,4,2014
Kids Get Dead 2: The Kids Get Deader,[27],0.6,6.0,1,2014
Tasmanian Tiger,"[18, 35]",0.6,6.0,1,2014
Killing Jimmy Hoffa,[99],0.6,6.0,1,2014
Bear Cop,[35],0.6,6.0,1,2014
Hellyfish,"[35, 27]",0.6,6.0,3,2014
The Christmas Switch,[10751],0.6,6.0,1,2014
Twink,[18],0.6,6.0,3,2014
Zero Tolerance,[99],0.6,6.0,1,2014
The Owl,[],0.6,6.0,1,2014
Scarlet's Witch,"[9648, 18, 14]",0.6,6.0,2,2014
Lee Mack - Hit the Road Mack,[35],0.6,6.0,1,2014
The Key,[18],0.6,6.0,1,2014
Matt Walker: H8R,[35],0.6,6.0,1,2014
The Historian,[18],0.6,6.0,1,2014
Rubberhead,[35],0.6,6.0,2,2014
Simhall,"[35, 16]",0.6,6.0,2,2014
Silk,"[53, 27]",0.6,6.0,1,2014
The Present,"[27, 9648]",0.6,6.0,2,2014
Велкам хом,[35],0.6,6.0,1,2014
Pauly Shore Stands Alone,[99],0.6,6.0,2,2014
Charles Lloyd - Arrows Into Infinity,"[10402, 99]",0.6,6.0,1,2014
Behold the Noose,[],0.6,6.0,1,2014
Haze and Fog,"[18, 14, 27]",0.6,6.0,1,2014
Lalaloopsy Babies: First Steps,[10751],0.6,6.0,2,2014
Time As Money,[99],0.6,6.0,1,2014
Down Dog,[35],0.6,6.0,1,2014
Shaquille O'Neal Presents: All Star Comedy Jam - Live from Las Vegas,[],0.6,6.0,2,2014
We Are Kings,"[35, 10402]",0.6,6.0,1,2014
David Bowie Is Happening Now,[99],0.6,6.0,1,2014
N: The Madness Of Reason,[99],0.6,6.0,4,2014
Roy Orbison: Mystery Girl - Unraveled,"[99, 10402]",0.6,6.0,1,2014
10%: What Makes a Hero?,"[12, 99]",0.6,6.0,1,2014
Aldo,[],0.6,6.0,1,2014
Art as a Weapon,"[12, 99]",0.6,6.0,3,2014
A Picture of You,[18],0.6,6.0,4,2014
Thomas & Friends: Carnival Capers,[],0.6,6.0,1,2014
Mudbloods,[99],0.6,6.0,2,2014
Erro de Continuidade,"[53, 14, 35]",0.6,6.0,1,2014
The Myth of Garrincha,[99],0.6,6.0,1,2014
Afronauts,[18],0.6,6.0,1,2014
Silent Hill: Lost Days,[27],0.6,6.0,1,2014
Mount Joy,[],0.6,6.0,2,2014
Young Bodies Heal Quickly,"[18, 35]",0.6,6.0,1,2014
5 Hour Friends,[],0.6,6.0,1,2014
Tiger and Bunny - The Movie: The Rising,"[28, 16, 878]",0.6,6.0,2,2014
Metropolis II,[99],0.6,6.0,1,2014
Status: Unknown,"[9648, 53, 80]",0.6,6.0,2,2014
Hacked Circuit,[],0.6,6.0,1,2014
Sinkholes: Swallowed Alive,[],0.6,6.0,1,2014
Tempo Girl,"[35, 18, 10749]",0.6,6.0,1,2014
The Standbys,"[99, 18]",0.6,6.0,1,2014
Chaplin of the Mountains,[18],0.6,6.0,1,2014
Big in Japan,[],0.6,6.0,2,2014
Afternoon of a Faun: Tanaquil Le Clercq,"[99, 18]",0.6,6.0,2,2014
Lady Valor: The Kristin Beck Story,[99],0.6,6.0,3,2014
Attack of the 50-foot Gummi Bear,[16],0.6,6.0,1,2014
The Sturgeon Queens,[99],0.6,6.0,1,2014
A Short History of Decay,[35],0.6,6.0,3,2014
Morgan Murphy: Irish Goodbye,[35],0.6,6.0,2,2014
Coyote,"[53, 14, 27, 878, 35]",0.6,6.0,4,2014
The New Black,[99],0.6,6.0,3,2014
Con la pata quebrada,[99],0.6,6.0,1,2014
Charlie Victor Romeo,[],0.6,6.0,1,2014
G.B.F.,[35],0.6,5.9,268,2014
Сталинград,"[10752, 28, 18]",0.6,5.9,139,2014
The Gift,"[10749, 18]",0.6,5.8,6,2014
Yes: Like It Is (At The Bristol Hippodrome),[10402],0.6,5.8,3,2014
Second Opinion,"[18, 99]",0.6,5.8,3,2014
Compelled By Love,[99],0.6,5.8,3,2014
Where the Road Runs Out,"[10749, 18, 10751]",0.6,5.8,4,2014
Roar: Tigers of the Sundarbans,"[53, 28, 12]",0.6,5.8,4,2014
See You Next Tuesday,[],0.6,5.8,4,2014
To Russia With Love,[99],0.6,5.7,7,2014
Dead Hearts,"[27, 10749, 14]",0.6,5.7,3,2014
Bill Maher: Live from D.C.,[35],0.6,5.7,6,2014
Na kathesai kai na koitas,[],0.6,5.7,3,2014
Collapse,"[27, 53]",0.6,5.7,6,2012
The Address,[99],0.6,5.6,4,2014
Starcrossed,"[10749, 18]",0.6,5.5,1,2014
Allergy to Originality,[],0.6,5.5,2,2014
Turn Around Jake,"[10751, 35, 18]",0.6,5.5,2,2014
Horse Camp,"[10751, 18]",0.6,5.5,2,2015
Zombie Isle,[27],0.6,5.5,2,2014
The Cult of JT LeRoy,[99],0.6,5.5,2,2014
Koyelaanchal,[],0.6,5.5,2,2014
The Past Is a Grotesque Animal,"[99, 10402]",0.6,5.5,2,2014
Mite,[16],0.6,5.5,2,2014
Bite Size,[99],0.6,5.5,2,2014
Arlo and Julie,[35],0.6,5.5,2,2014
Born to Fly: Elizabeth Streb vs. Gravity,[99],0.6,5.5,2,2014
Old Goats,[35],0.6,5.5,2,2014
La hermandad,"[53, 27]",0.6,5.5,2,2014
